x	y	zb	h	qx	qy
227077.529	2563259.859	632.853		0	0	0
226717.788	2561961.193	536.340		0	0	0
227392.790	2563770.285	640.020		0	0	0
226462.761	2562232.344	592.340		0	0	0
226741.225	2562483.467	627.203		0	0	0
226741.308	2562478.032	627.927		0	0	0
226539.584	2563499.532	590.547		0	0	0
227473.195	2563906.242	609.130		0	0	0
226341.232	2562025.142	567.223		0	0	0
226600.611	2562324.250	594.757		0	0	0
226530.591	2563439.506	599.030		0	0	0
227060.138	2564368.559	630.150		0	0	0
226711.811	2561960.281	536.037		0	0	0
227222.708	2563588.468	584.093		0	0	0
226610.552	2562947.139	617.023		0	0	0
226458.313	2562007.242	540.413		0	0	0
226403.254	2562005.412	539.780		0	0	0
226759.738	2561949.307	547.177		0	0	0
227423.482	2564514.214	591.607		1.47333	0.622089	-3.49019
226787.714	2563915.276	667.187		0	0	0
226678.608	2562355.671	595.937		0	0	0
226398.554	2562171.222	588.687		0	0	0
227244.004	2563611.145	588.957		0	0	0
227226.524	2564552.310	590.590		1.76418	-3.61178	-4.81475
226743.211	2563848.925	662.813		0	0	0
227071.674	2562100.083	630.233		0	0	0
227098.995	2564470.894	588.567		0.975681	-1.48207	-2.16464
226458.446	2563162.553	661.647		0	0	0
227465.449	2564318.367	593.730		0	0	0
227220.683	2564552.067	590.470		1.79854	-3.58665	-5.01976
227227.917	2563587.933	586.823		0	0	0
227245.391	2563626.680	586.360		0	0	0
227246.976	2563616.072	589.250		0	0	0
226924.734	2562001.341	564.813		0	0	0
226739.478	2562523.752	631.697		0	0	0
226534.015	2563443.602	597.123		0	0	0
226460.841	2562002.330	540.323		0	0	0
227398.029	2563770.270	642.430		0	0	0
226736.204	2562528.516	635.253		0	0	0
226468.207	2562231.593	592.237		0	0	0
226929.980	2562001.085	565.927		0	0	0
227184.590	2563543.195	584.070		0	0	0
226345.798	2562027.789	568.677		0	0	0
226644.259	2562885.825	628.887		0	0	0
227059.008	2564355.806	629.447		0	0	0
226938.441	2562006.324	568.360		0	0	0
226553.072	2563564.633	627.087		0	0	0
226415.918	2562016.005	539.963		0	0	0
227111.476	2562783.736	583.977		0	0	0
227425.946	2564519.519	591.530		1.79887	0.686854	-3.04599
227509.108	2564167.128	613.067		0	0	0
227127.530	2563426.649	619.653		0	0	0
227262.820	2562319.638	636.143		0	0	0
227107.648	2562786.839	583.550		0	0	0
226564.936	2563012.397	648.360		0	0	0
226614.689	2562329.463	594.587		0	0	0
227424.525	2563804.346	637.683		0	0	0
227082.234	2564368.889	613.237		0	0	0
226797.828	2561947.054	556.333		0	0	0
226546.232	2563049.959	638.910		0	0	0
227471.124	2563900.772	609.203		0	0	0
227257.238	2564557.864	592.753		1.02863	-0.973058	-3.35545
226680.038	2562360.755	596.783		0	0	0
227107.278	2564521.966	590.453		0.90662	0	0
226725.837	2562531.913	640.683		0	0	0
226551.349	2563559.058	624.537		0	0	0
226827.207	2563974.702	648.647		0	0	0
227005.011	2564283.813	680.250		0	0	0
227087.716	2563279.380	633.920		0	0	0
226570.768	2563633.749	646.277		0	0	0
226409.905	2562014.507	539.830		0	0	0
226764.569	2561951.500	545.170		0	0	0
226622.610	2563695.057	651.983		0	0	0
226678.513	2562824.612	654.117		0	0	0
227511.441	2564171.717	612.933		0	0	0
226370.095	2562117.696	578.223		0	0	0
226729.591	2562527.428	638.233		0	0	0
227136.750	2563488.483	588.227		0	0	0
226458.200	2563168.338	658.603		0	0	0
227130.042	2563432.074	620.080		0	0	0
226340.147	2562058.599	570.670		0	0	0
227065.306	2564365.232	628.277		0	0	0
227084.435	2564374.277	609.330		0	0	0
227064.653	2564358.371	627.617		0	0	0
227173.317	2562188.052	645.263		0	0	0
227087.649	2563255.747	644.027		0	0	0
227102.841	2564492.272	589.190		0.505445	-0.329892	-0.577377
226541.336	2563427.188	601.330		0	0	0
227127.783	2564565.454	591.120		1.45364	-0.202498	-4.61481
226483.373	2563283.665	628.073		0	0	0
226396.095	2562165.814	588.187		0	0	0
226593.109	2563648.840	647.770		0	0	0
227421.779	2563798.906	640.417		0	0	0
226840.651	2561948.028	568.290		0	0	0
226737.356	2562543.814	641.020		0	0	0
227125.060	2563403.610	623.543		0	0	0
226921.808	2561995.074	568.930		0	0	0
226557.560	2563586.081	634.887		0	0	0
227153.278	2562716.623	592.050		0	0	0
227109.690	2562793.786	583.220		0	0	0
227118.809	2564562.523	590.940		1.58764	-0.102413	-5.51179
226592.272	2563643.483	647.903		0	0	0
226828.554	2561930.921	563.643		0	0	0
226543.132	2563054.468	634.967		0	0	0
226576.194	2563635.713	646.227		0	0	0
226742.760	2563843.239	662.197		0	0	0
226984.533	2564251.023	690.563		0	0	0
227105.543	2562796.828	582.333		0	0	0
226539.508	2563432.596	599.603		0	0	0
226367.568	2562112.433	576.003		0	0	0
226540.174	2562274.364	592.517		0	0	0
227400.495	2563776.403	639.047		0	0	0
227293.803	2563658.907	605.277		0	0	0
227227.214	2562244.612	643.397		0	0	0
227407.256	2564528.261	595.410		0.744632	0.392445	-3.57852
226400.262	2562019.443	541.177		0	0	0
227114.587	2564559.892	590.840		1.58812	-0.314923	-4.51667
226617.796	2562925.503	626.713		0	0	0
226774.843	2563889.309	665.470		0	0	0
227536.875	2564109.263	617.243		0	0	0
226979.299	2564250.159	690.593		0	0	0
227177.280	2564560.504	589.397		2.26042	-1.49357	-5.78134
227085.004	2563274.855	632.850		0	0	0
227323.547	2563696.375	608.310		0	0	0
227174.909	2564564.761	589.510		2.14962	-0.858848	-5.51261
226916.638	2561995.467	568.623		0	0	0
227092.869	2564453.669	588.187		1.27523	-1.18087	-2.76762
227104.826	2562803.262	581.593		0	0	0
227405.716	2563776.858	641.123		0	0	0
226842.718	2561943.546	568.170		0	0	0
226606.335	2562323.862	594.317		0	0	0
226578.753	2562998.885	638.317		0	0	0
227108.325	2562806.894	582.167		0	0	0
226933.114	2562007.138	564.123		0	0	0
227507.855	2564214.061	611.943		0	0	0
227080.856	2563255.203	637.433		0	0	0
227482.122	2564273.630	604.950		0	0	0
227089.618	2564457.066	588.400		1.07584	-0.807448	-2.24017
227479.946	2564283.498	606.037		0	0	0
227513.205	2564053.121	610.113		0	0	0
226634.178	2562901.003	627.420		0	0	0
227477.042	2563917.760	608.720		0	0	0
227476.151	2564287.090	605.770		0	0	0
227166.892	2563510.507	587.330		0	0	0
227204.132	2562527.507	589.143		0	0	0
226351.848	2562025.516	568.667		0	0	0
226891.234	2564098.587	677.927		0	0	0
227141.884	2562704.353	593.340		0	0	0
227166.202	2563515.145	584.993		0	0	0
226769.509	2561946.861	550.203		0	0	0
227444.030	2564372.239	591.733		0	0	0
227111.366	2564525.397	589.760		1.68337	1.33681	-3.22428
227130.440	2562810.338	587.400		0	0	0
227467.920	2564323.653	593.977		0	0	0
226375.548	2562128.473	579.920		0	0	0
226353.718	2562021.014	568.597		0	0	0
226374.449	2562010.270	560.677		0	0	0
226617.467	2562323.973	594.073		0	0	0
227221.946	2562242.050	643.183		0	0	0
227134.607	2562807.644	587.023		0	0	0
226489.449	2563129.185	634.163		0	0	0
226342.502	2562063.556	570.540		0	0	0
226774.462	2561948.608	549.707		0	0	0
226569.599	2563010.265	644.920		0	0	0
226631.757	2562896.543	631.703		0	0	0
